model,source,percentile,threshold,precision,recall,f1,fp,tp
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.22244897959183,0.045590776364718165,0.3506758007776338,1.0,0.5192597669636737,3507,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.3234693877551,0.046404509312872357,0.35283159463487335,1.0,0.5216193885981824,3474,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.42448979591836,0.04719293734857011,0.3540186915887851,1.0,0.522915516289343,3456,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.52551020408163,0.04807210610514238,0.3557475582268971,1.0,0.5247991133277916,3430,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.6265306122449,0.04895506018240543,0.35722368917389663,1.0,0.5264035575319622,3408,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.72755102040817,0.04977593469167398,0.3589160507864317,1.0,0.5282387393668944,3383,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.82857142857144,0.050864190421998606,0.36048724781119146,1.0,0.5299384443200895,3360,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.9295918367347,0.05192577495638814,0.3620722615178742,1.0,0.5316491228070175,3337,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.03061224489797,0.05301686136850294,0.3633224630730865,1.0,0.5329956381032784,3319,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.13163265306123,0.05424930047509961,0.36549594751061365,1.0,0.5353306953080836,3288,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.2326530612245,0.05546873605677085,0.36798134835826696,1.0,0.537991762533731,3253,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.33367346938776,0.05664972194603511,0.3702111024237686,1.0,0.5403708987161199,3222,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.43469387755103,0.057929264993539877,0.3722713864306785,0.9994720168954594,0.5424845966470841,3192,1893
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.53571428571429,0.059480621479451656,0.374184621466693,0.9994720168954594,0.5445131597871422,3166,1893
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.63673469387756,0.06107062857065884,0.3768664144933307,0.9994720168954594,0.5473471158016482,3130,1893
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,93.73775510204082,0.06273472619109922,0.3792067307692308,0.9994720168954594,0.5498112111530642,3099,1893
